Gender,Education,Experience (Years),Position,Location,Salary
Male,PhD,16,Manager,Pune,66427
Female,PhD,13,Junior,Mumbai,147883
Male,Bachelor,20,Junior,Mumbai,156189
Male,Bachelor,2,Senior,Delhi,150808
Male,Master,0,Manager,Mumbai,137221
Female,Bachelor,19,Junior,Bangalore,38234
Male,PhD,20,Manager,Pune,78441
Male,PhD,0,Senior,Delhi,25846
Male,Bachelor,2,Junior,Mumbai,35954
Female,PhD,17,Manager,Bangalore,104239
Male,PhD,9,Junior,Bangalore,71514
Male,Bachelor,2,Senior,Mumbai,113236
Male,Bachelor,7,Manager,Pune,122579
Male,PhD,13,Junior,Mumbai,162541
Female,PhD,17,Senior,Delhi,67101
Male,PhD,14,Junior,Mumbai,89323
Female,Master,1,Junior,Bangalore,116922
Female,Master,9,Mid,Mumbai,152534
Female,Master,1,Mid,Pune,92584
Male,Bachelor,16,Senior,Chennai,129537
Female,Master,7,Mid,Mumbai,103477
Male,Bachelor,0,Senior,Pune,67533
Female,Bachelor,8,Mid,Pune,26828
Female,Master,10,Junior,Bangalore,26917
Female,Master,15,Senior,Pune,45618
Female,Master,6,Senior,Pune,57254
Female,PhD,9,Junior,Pune,130292
Female,Master,2,Senior,Pune,72362
Female,PhD,17,Senior,Delhi,45128
Female,Bachelor,12,Mid,Delhi,148781
Male,PhD,6,Senior,Bangalore,90545
Male,Master,3,Manager,Mumbai,107180
Female,Bachelor,12,Junior,Pune,112958
Female,Bachelor,19,Mid,Mumbai,165937
Female,Bachelor,0,Mid,Mumbai,158291
Male,PhD,7,Manager,Bangalore,64809
Female,Master,13,Junior,Pune,141748
Male,Bachelor,15,Junior,Pune,30287
Male,Bachelor,13,Mid,Chennai,33512
Male,Bachelor,11,Senior,Mumbai,157414
Male,PhD,18,Mid,Mumbai,133872
Male,PhD,14,Junior,Delhi,175288
Female,Master,1,Manager,Chennai,118070
Female,PhD,1,Mid,Delhi,104767
Female,Bachelor,18,Junior,Delhi,122829
Female,Master,16,Mid,Delhi,67078
Female,Bachelor,19,Senior,Bangalore,131288
Male,Bachelor,9,Mid,Bangalore,108524
Female,PhD,5,Mid,Delhi,37219
Female,Master,14,Junior,Chennai,25235
Male,PhD,10,Junior,Mumbai,67929
Female,PhD,4,Junior,Chennai,152309
Male,Master,0,Mid,Pune,92444
Female,Bachelor,7,Senior,Bangalore,164639
Male,Bachelor,20,Manager,Mumbai,126834
Female,Master,11,Manager,Mumbai,109555
Female,Bachelor,11,Junior,Pune,98698
Male,Master,4,Junior,Pune,149450
Male,Master,6,Mid,Delhi,161487
Male,PhD,3,Manager,Bangalore,68925
Male,Master,5,Junior,Bangalore,162023
Male,PhD,12,Senior,Chennai,112388
Male,Bachelor,19,Senior,Delhi,33007
Male,Bachelor,14,Junior,Delhi,83596
Male,Bachelor,2,Junior,Delhi,146101
Female,Bachelor,7,Manager,Delhi,113861
Female,PhD,19,Manager,Bangalore,111740
Male,Bachelor,15,Mid,Bangalore,40524
Female,Master,12,Manager,Delhi,175354
Female,Master,17,Senior,Chennai,156149
Female,Master,9,Senior,Mumbai,150501
Female,PhD,18,Junior,Mumbai,45611
Male,Bachelor,16,Manager,Chennai,173056
Female,Bachelor,18,Mid,Delhi,39060
Male,Bachelor,4,Senior,Bangalore,68303
Female,PhD,20,Senior,Mumbai,64711
Female,Master,8,Mid,Pune,168026
Female,Master,11,Mid,Pune,98340
Male,Bachelor,20,Senior,Chennai,127974
Female,Master,0,Senior,Delhi,174646
Male,Master,0,Mid,Mumbai,165256
Female,PhD,14,Senior,Delhi,175168
Male,PhD,1,Junior,Mumbai,92728
Female,PhD,15,Junior,Chennai,36246
Male,PhD,7,Mid,Chennai,174453
Male,Bachelor,12,Manager,Pune,152796
Female,PhD,20,Mid,Delhi,117263
Male,Master,0,Mid,Pune,160090
Female,Bachelor,15,Manager,Delhi,36302
Female,Master,6,Manager,Pune,92506
Female,Master,4,Manager,Bangalore,66157
Female,Master,2,Junior,Bangalore,79917
Female,PhD,11,Senior,Bangalore,121646
Female,PhD,15,Junior,Bangalore,108122
Female,Bachelor,18,Senior,Mumbai,49519
Female,Bachelor,4,Junior,Bangalore,105910
Female,PhD,13,Senior,Chennai,145430
Female,Master,4,Junior,Chennai,96324
Female,Bachelor,14,Manager,Mumbai,30408
Male,PhD,16,Mid,Bangalore,84379
Male,PhD,13,Junior,Bangalore,50053
Female,PhD,19,Senior,Bangalore,165518
Female,Master,4,Manager,Pune,156994
Female,PhD,11,Junior,Delhi,123723
Female,PhD,15,Junior,Pune,76356
Female,PhD,15,Manager,Delhi,35789
Female,PhD,20,Junior,Bangalore,122720
Female,Bachelor,6,Mid,Bangalore,91656
Female,Bachelor,3,Junior,Pune,69028
Male,PhD,0,Mid,Pune,89484
Female,Master,4,Mid,Delhi,57154
Male,Bachelor,9,Manager,Chennai,27336
Female,PhD,4,Junior,Delhi,128677
Female,Bachelor,3,Manager,Pune,92779
Male,Bachelor,1,Junior,Pune,44029
Female,Master,19,Junior,Mumbai,84201
Male,PhD,9,Senior,Pune,57265
Female,PhD,18,Junior,Mumbai,127916
Female,Master,0,Manager,Chennai,71197
Male,Master,4,Mid,Delhi,150733
Female,PhD,12,Junior,Delhi,179782
Male,PhD,3,Senior,Mumbai,96907
Female,Master,15,Manager,Delhi,153876
Male,Bachelor,15,Junior,Pune,89435
